ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
221,1,97,1,1,1,2,1,1,1,1,1,1,2,1,1,2,0,1,2,1,1,1,1,1,1,1,1,1,1,1
222,2,0,1,2,1,2,0,1,1,0,1,2,1,1,0,2,29,1,1,2,1,2,0,0,0,1,0,1,1,0
223,4,44,2,1,1,1,2,2,1,2,1,1,2,2,2,4,36,2,2,2,2,2,2,2,2,1,2,2,2,2
224,3,129,2,2,1,2,2,2,2,2,2,2,1,1,1,3,48,2,2,2,2,2,2,2,2,2,2,2,2,2
225,3,106,2,1,2,1,1,1,1,0,1,0,1,0,1,2,61,2,1,1,1,1,1,1,1,1,1,1,1,1
226,3,135,2,1,1,2,0,1,1,1,2,2,1,2,1,3,109,1,2,2,2,2,1,2,2,1,2,1,1,1
227,2,35,1,1,2,2,2,2,2,2,2,1,1,2,2,4,22,1,2,2,1,2,2,2,2,2,2,2,2,2
228,4,56,1,2,2,2,2,2,2,2,2,2,2,2,2,4,12,2,2,2,2,2,2,2,2,2,2,2,2,2
229,3,134,2,2,1,2,2,2,1,1,2,1,1,2,2,4,62,2,2,2,2,2,2,2,1,2,1,1,1,1
230,3,107,2,2,1,2,2,2,2,2,2,2,2,1,2,3,70,2,2,2,2,2,2,2,2,2,2,1,1,2
231,3,0,0,1,1,2,1,1,2,1,2,2,2,1,1,2,35,1,1,1,1,1,1,1,0,1,1,1,1,1
232,3,18,2,2,2,1,1,1,2,2,2,2,2,1,1,3,49,2,2,1,2,1,1,1,2,2,1,1,1,1
233,3,59,2,1,1,2,1,2,2,1,2,2,2,1,1,3,53,2,2,1,2,2,2,2,2,1,1,1,2,2
234,3,76,2,2,1,2,2,2,2,2,2,2,2,2,2,4,81,2,2,2,2,2,2,2,2,2,2,2,2,2
235,3,58,1,2,2,2,2,2,2,2,2,1,2,2,2,4,0,1,2,2,2,1,2,2,2,2,2,2,2,2
236,2,52,1,1,2,2,2,1,2,1,2,2,1,2,1,2,99,1,1,2,1,2,1,1,1,1,1,2,1,1
237,2,0,1,1,1,2,1,2,2,1,2,2,2,1,1,2,69,1,2,1,2,2,2,2,1,2,1,2,2,1
238,3,23,2,1,1,1,1,2,2,1,1,2,2,1,1,3,35,1,1,1,1,2,2,1,1,1,1,1,1,1
239,2,89,1,1,2,1,2,1,2,2,2,1,2,1,1,3,47,1,2,1,1,1,2,1,1,1,1,1,1,1
240,4,12,1,2,1,2,1,1,1,2,1,2,1,1,2,3,46,2,1,2,2,2,2,2,2,2,2,2,2,2
241,2,84,1,1,1,1,2,1,2,1,1,1,1,0,1,4,61,2,2,2,2,2,2,2,1,1,2,2,2,2
242,4,46,1,2,2,2,2,2,2,2,2,2,2,2,2,3,41,1,1,1,1,2,2,1,2,2,2,2,2,2
243,4,28,2,2,2,2,2,2,2,2,2,2,2,2,2,4,38,2,2,2,2,2,2,2,2,2,2,2,2,1
244,3,125,2,2,1,2,2,2,2,2,2,2,2,2,2,4,72,2,2,2,2,2,1,2,2,2,1,1,1,1
245,3,5,1,2,2,2,1,2,2,1,2,2,2,2,1,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2
246,2,7,1,1,1,2,1,1,1,1,1,1,1,1,1,3,33,1,1,2,1,1,1,2,1,1,2,1,1,2
247,4,34,1,2,2,2,2,2,1,2,2,2,1,2,2,3,48,2,2,2,2,2,2,1,2,2,2,2,2,2
248,3,39,1,1,2,2,1,2,1,2,2,2,1,1,1,3,40,0,2,1,1,2,2,2,1,1,1,1,2,2
249,3,8,2,2,1,2,1,2,2,1,2,2,2,2,1,3,19,2,2,2,2,1,1,1,1,1,1,2,1,1
250,3,49,2,1,2,1,1,1,1,2,1,2,1,1,2,3,18,2,2,1,1,2,1,2,1,2,1,1,1,1
251,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2
252,3,0,1,2,2,2,2,2,2,2,2,2,2,1,2,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2
253,3,47,1,2,1,2,2,2,2,1,2,1,1,2,1,3,33,2,2,1,2,2,2,2,2,1,2,1,1,1
254,2,40,1,2,1,2,1,1,1,1,2,2,2,2,2,3,62,1,2,2,2,2,1,2,1,1,1,1,1,0
255,3,112,2,2,2,2,2,2,2,2,2,2,2,2,1,4,22,1,2,1,2,2,2,2,2,2,2,1,2,2
256,3,102,1,2,1,2,2,2,2,2,2,2,2,2,1,4,45,2,2,2,2,2,2,2,2,2,2,1,2,2
257,3,43,1,2,1,2,1,1,1,1,2,1,1,2,1,4,29,1,2,1,2,1,2,2,2,2,2,2,2,2
258,3,97,2,1,2,2,1,1,1,1,2,2,1,2,1,3,83,1,2,1,2,2,2,1,1,2,2,1,1,1
259,2,132,0,1,1,2,1,1,1,0,1,2,1,2,1,2,77,1,2,1,2,2,2,2,1,2,2,2,1,2
260,3,19,1,1,1,1,1,1,2,2,1,1,2,1,2,4,0,2,2,2,2,2,1,2,1,2,1,2,1,1
261,4,48,2,2,2,2,1,2,2,2,1,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
262,4,81,2,2,2,2,2,2,2,2,2,2,2,2,1,3,96,2,2,2,2,2,2,2,2,2,1,2,2,1
263,3,19,2,2,2,2,2,2,1,1,1,1,2,2,2,4,58,2,2,2,2,2,2,2,2,2,2,2,1,2
264,3,72,2,1,1,2,1,0,1,2,1,1,1,1,2,4,28,2,2,2,2,1,1,1,1,1,1,2,1,2
265,3,0,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1
266,3,86,1,1,2,1,2,0,1,0,1,1,1,1,0,3,99,2,2,1,2,2,2,2,1,1,1,1,2,2
267,3,77,1,0,1,1,2,1,2,2,2,2,1,1,1,3,33,1,2,2,2,1,2,1,1,1,1,1,2,1
268,2,124,2,1,1,2,2,2,2,2,2,2,2,1,1,3,49,2,2,1,2,2,2,1,2,2,2,1,2,1
269,1,24,0,1,0,1,1,1,1,1,1,1,0,1,1,3,17,1,2,2,2,2,2,2,1,2,2,2,2,2
270,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,34,1,1,1,1,1,1,1,1,1,1,1,0,1
271,2,195,1,2,2,2,2,2,1,2,2,1,1,2,1,3,0,1,2,2,1,1,2,1,2,2,1,1,2,1
272,3,109,2,2,1,1,2,2,2,2,2,1,2,1,2,3,82,2,2,1,2,2,2,1,2,2,1,1,2,1
273,2,39,1,1,1,2,1,1,1,1,1,1,1,2,1,3,0,1,1,1,1,1,1,1,1,2,2,2,1,2
274,3,109,1,2,1,2,2,2,2,2,2,2,1,1,1,3,19,1,1,1,2,2,1,2,2,2,2,1,2,1
275,3,0,1,2,2,2,2,1,1,2,2,2,1,1,2,2,13,2,2,2,2,2,1,1,1,1,2,2,1,1
276,4,57,2,2,2,2,2,1,2,2,2,1,2,2,2,3,7,2,2,2,1,1,2,2,1,2,2,1,1,2
277,2,133,2,2,1,2,2,2,2,2,2,2,2,1,1,3,98,2,2,2,2,2,2,2,2,2,1,1,1,1
278,3,90,2,1,2,1,2,2,2,1,1,1,1,1,1,3,17,1,2,2,1,1,1,1,0,1,1,2,1,1
279,3,33,1,1,1,2,2,2,2,2,2,2,2,2,2,3,101,2,2,1,2,2,1,2,2,1,1,1,1,2
280,3,51,2,2,0,2,2,1,2,2,1,1,1,1,1,3,64,2,2,1,2,2,1,2,2,2,2,1,2,2
281,4,0,1,2,2,2,2,2,2,1,2,2,2,1,2,3,0,1,1,2,2,2,1,1,1,1,1,1,1,1
282,3,47,1,1,1,0,1,1,1,2,1,1,1,1,0,3,17,1,2,1,1,1,1,1,1,1,1,1,1,1
283,2,90,2,2,2,2,1,1,1,1,1,1,1,1,1,2,90,1,1,1,1,2,1,1,1,1,1,1,1,0
284,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,0,1,1,2,1,1,1,1,1,1,1,1,1,0
285,4,111,2,2,2,2,2,1,2,2,2,1,2,2,2,3,47,2,2,2,2,2,2,2,2,2,1,1,2,1
286,3,97,2,2,2,2,2,2,2,2,2,2,2,1,2,4,45,2,2,2,1,2,2,2,1,1,2,2,2,1
287,4,109,2,2,2,2,2,2,2,2,2,2,2,1,2,4,74,1,2,2,2,2,2,2,2,2,2,2,2,2
288,3,0,2,2,2,1,1,2,2,2,2,2,2,2,1,3,68,1,2,1,2,2,2,2,2,2,2,2,2,1
289,3,58,1,2,1,1,2,1,2,1,1,1,1,1,0,3,55,1,2,1,1,1,2,2,1,1,1,1,1,1
290,4,151,1,2,2,2,2,2,2,2,2,2,2,1,1,4,33,2,2,2,2,2,2,2,2,2,2,2,2,2
291,2,0,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,1,2,1,1,1,1,1,1
292,3,115,1,1,1,2,1,2,1,2,2,2,2,2,2,3,21,2,2,2,2,2,2,2,2,2,2,1,2,2
293,2,38,2,1,1,1,2,1,2,2,2,2,2,0,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1
294,3,124,1,1,2,2,1,2,1,1,1,1,1,1,1,4,17,2,2,1,2,1,2,2,2,2,1,2,1,2
295,2,106,1,2,1,2,2,2,2,2,2,2,2,2,1,4,68,2,2,2,2,2,2,2,2,2,2,2,2,2
296,3,118,2,2,1,2,2,1,2,1,1,1,1,0,1,2,87,2,1,1,2,1,2,2,1,1,1,1,0,1
297,3,9,2,2,2,2,2,1,1,1,1,1,1,1,1,2,39,2,1,1,1,2,1,1,1,1,1,1,2,1
298,3,0,2,1,0,1,1,1,1,1,1,1,2,1,2,3,0,1,1,1,1,2,1,2,2,2,2,1,1,0
299,3,64,2,2,1,2,2,2,2,2,2,2,2,2,2,4,60,2,2,1,2,2,2,2,2,2,2,1,2,1
300,4,77,2,2,2,2,2,2,2,2,2,2,2,2,2,3,59,2,2,2,2,2,2,1,2,2,2,1,2,2
301,2,144,2,1,0,1,1,1,2,0,1,1,1,1,0,3,24,2,2,2,2,1,1,1,2,1,1,1,2,2
302,4,78,2,2,1,2,2,2,2,2,2,1,2,1,2,3,55,2,2,2,2,2,2,1,1,1,1,2,2,1
303,1,0,2,2,1,2,1,2,2,1,2,2,2,1,2,3,17,1,1,2,2,2,1,2,1,1,2,2,2,1
304,3,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,2,1,2,1,1,2,2,2,0,1
305,3,102,2,2,2,2,2,2,1,2,2,2,2,1,0,4,69,2,2,2,2,2,2,2,2,2,2,2,2,2
306,4,0,2,2,1,2,2,2,2,2,2,2,2,2,2,4,26,2,2,2,2,2,2,2,2,2,2,2,2,2
307,3,140,1,1,1,1,1,1,1,0,2,1,1,2,0,2,96,2,2,1,2,2,2,2,1,2,2,1,1,2
308,3,93,1,2,1,2,1,2,2,2,2,2,2,2,2,3,26,2,2,2,2,1,2,2,2,2,2,1,2,2
309,4,85,2,2,2,2,2,2,2,2,2,2,2,2,2,3,30,2,2,2,2,2,2,2,2,2,2,2,2,1
310,3,129,1,1,2,1,2,1,2,1,2,1,2,2,2,3,46,2,2,2,2,1,1,1,2,1,1,1,1,1
311,3,45,2,2,1,2,2,1,2,1,1,1,2,2,1,3,65,2,2,1,2,2,2,2,2,2,1,2,2,1
312,2,127,2,2,1,2,2,2,2,1,2,2,2,2,2,3,88,2,2,2,2,2,2,2,2,2,2,2,2,2
313,4,11,1,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2
314,4,112,1,2,1,2,2,2,2,1,2,2,2,1,1,4,118,2,2,1,2,2,2,2,2,2,2,2,2,2
315,4,74,2,2,1,2,2,2,2,2,2,2,2,2,2,4,61,2,2,2,2,2,2,2,2,2,2,2,2,2
316,2,60,1,1,2,1,2,0,1,1,0,1,1,0,1,2,0,1,1,1,1,2,1,1,0,1,1,1,1,1
317,2,0,1,2,1,1,1,1,1,1,2,1,1,1,2,3,18,2,2,1,2,2,1,2,2,2,2,1,2,1
318,4,81,2,2,1,2,2,1,2,2,2,2,2,2,0,2,87,2,2,2,2,2,2,1,1,2,2,1,2,1
319,3,2,1,1,2,1,1,1,2,2,2,2,1,2,2,3,68,2,2,1,1,1,2,1,2,1,1,1,1,1
320,3,75,2,2,1,2,2,2,2,1,2,2,2,1,1,4,28,1,1,2,1,1,1,2,1,1,1,1,1,2
321,3,89,2,2,2,2,1,2,2,2,2,2,2,1,2,4,67,2,2,2,2,2,2,2,2,2,2,2,2,2
322,2,73,1,2,1,1,2,2,1,2,1,1,2,1,1,2,17,1,2,1,1,2,1,1,1,1,2,1,1,1
323,1,0,0,1,1,1,0,1,1,1,2,2,2,2,1,3,15,1,2,1,2,2,2,2,2,2,2,1,1,1
324,3,29,2,2,1,2,2,1,1,2,1,2,2,1,1,3,30,2,2,2,2,2,1,1,1,2,2,2,1,1
325,3,70,2,2,2,1,1,1,1,1,1,2,1,1,1,3,70,2,2,1,2,2,2,2,2,2,2,2,2,2
326,2,47,1,2,2,2,1,2,1,1,2,2,1,1,0,4,0,1,2,2,2,2,2,2,2,2,2,2,2,2
327,2,72,1,1,1,1,1,1,1,1,1,1,0,2,1,2,13,1,1,1,1,1,2,2,1,1,1,1,2,1
328,2,0,1,1,2,2,2,1,2,1,2,1,1,1,1,3,5,1,2,1,2,2,2,2,1,1,2,1,1,2
329,2,131,2,2,2,2,2,2,2,2,2,1,2,2,1,3,115,2,2,2,2,2,2,2,1,2,2,2,2,1
330,2,57,1,1,2,1,2,2,2,2,2,2,2,1,2,4,30,1,2,2,2,2,2,2,2,2,2,2,1,2
331,2,103,2,2,1,2,1,1,1,1,1,2,1,2,1,3,89,2,2,1,1,1,2,2,1,1,1,1,1,2
332,4,117,2,2,2,2,2,2,1,2,1,2,1,2,2,3,51,2,2,2,2,2,2,2,2,2,2,1,1,1
333,4,125,2,2,2,2,2,2,1,2,1,1,1,2,2,3,76,2,1,1,1,1,1,1,2,2,2,1,2,2
334,3,98,1,1,2,1,2,2,2,2,2,2,2,1,2,4,21,2,2,2,2,2,2,2,2,2,2,2,1,2
335,1,167,1,1,1,1,1,1,1,1,1,1,1,1,1,3,90,1,1,1,1,1,1,1,1,1,1,1,1,1
336,3,48,2,2,1,2,2,2,2,1,2,2,2,2,2,3,72,2,2,1,2,2,2,2,2,2,2,2,1,2
337,3,93,1,2,2,1,2,2,2,2,1,1,2,1,2,4,90,1,1,1,1,2,2,2,2,2,2,2,2,2
338,3,44,1,2,1,2,2,1,1,1,2,2,1,2,1,3,63,2,2,1,2,1,2,2,1,2,2,1,2,1
339,2,65,1,1,1,2,1,1,1,1,1,2,1,1,1,3,81,1,2,1,2,2,2,2,1,2,2,2,1,2
340,3,50,1,1,2,1,1,1,2,2,2,2,1,1,0,2,68,1,1,1,1,1,1,1,1,0,1,1,1,1
341,2,53,1,1,1,1,1,2,1,0,1,1,1,1,0,3,22,2,2,2,2,1,2,1,2,2,1,1,1,1
342,2,82,2,2,2,1,1,1,2,2,2,1,1,2,1,4,42,2,2,2,2,2,1,1,1,1,2,2,2,1
343,1,37,0,1,0,1,1,1,0,0,1,1,1,1,1,2,23,1,1,1,1,1,1,1,1,1,1,0,1,1
344,3,42,2,2,2,1,2,2,1,1,1,1,1,2,1,2,0,2,1,1,1,1,1,1,1,1,2,1,2,2
345,4,61,2,2,2,1,1,2,2,2,2,2,1,2,2,4,107,2,2,1,2,2,2,2,2,2,2,2,2,2
346,1,97,1,1,1,1,1,1,0,1,1,1,1,1,1,3,39,2,1,1,1,2,2,1,1,1,2,2,1,1
347,2,9,1,1,1,2,0,1,1,1,2,1,1,0,2,4,12,1,2,2,2,2,2,2,2,2,2,2,2,2
348,3,91,2,2,2,1,1,2,2,1,2,1,1,1,1,4,47,2,2,2,2,2,2,2,2,2,2,2,2,2
349,4,144,2,2,2,2,2,2,2,2,2,2,2,2,1,4,46,1,2,2,2,2,2,2,2,2,2,1,2,2
350,4,45,2,2,1,2,2,2,2,1,2,2,2,1,1,3,41,2,1,1,1,2,1,1,1,1,1,1,0,1
351,3,52,2,2,2,2,2,2,1,2,2,2,1,2,2,4,74,2,2,2,2,2,2,2,2,2,2,2,2,2
352,2,140,2,2,1,2,1,2,1,2,1,1,1,1,1,2,75,2,2,1,1,1,2,1,2,2,2,1,2,1
353,2,144,2,2,2,2,2,1,2,2,2,2,1,1,1,3,87,2,2,2,2,2,1,1,2,2,1,1,2,1
354,4,0,2,2,2,2,2,1,2,2,2,1,2,1,2,4,42,1,2,2,1,2,2,2,1,2,2,2,2,2
355,3,42,2,2,2,2,2,2,2,2,2,2,2,2,2,3,29,2,2,2,2,2,2,2,1,2,2,1,1,1
356,2,75,1,2,2,2,1,2,1,1,1,1,1,0,0,3,55,2,2,1,2,1,1,2,1,1,1,1,1,1
357,2,97,1,2,1,1,2,1,1,1,2,1,1,2,1,3,65,1,1,2,2,1,1,2,1,2,2,1,1,1
358,2,96,2,2,1,2,2,2,2,2,1,1,1,1,0,4,103,2,2,2,2,2,2,2,1,2,2,2,2,2
359,3,93,1,1,1,1,1,1,1,1,1,1,1,1,1,2,90,2,1,1,1,1,1,1,0,1,0,1,0,1
360,3,56,1,2,2,2,2,1,2,1,2,1,1,2,1,4,55,2,2,2,2,2,1,2,2,2,2,2,2,1
361,2,45,2,2,2,1,2,1,1,1,1,1,1,1,1,2,89,2,2,2,1,2,1,1,1,1,0,1,1,1
362,3,45,1,2,1,2,2,2,2,2,1,2,2,2,2,3,65,1,1,2,1,2,2,1,1,2,2,1,1,1
363,3,62,2,2,1,2,2,1,2,2,2,2,1,2,2,3,103,2,2,1,2,2,2,2,2,2,2,1,2,1
364,2,106,1,1,2,1,1,1,0,1,1,1,1,1,1,3,66,1,2,2,1,2,2,1,1,1,1,0,1,0
365,3,0,1,1,2,1,1,1,2,1,2,2,2,2,2,4,0,1,2,1,1,2,2,2,2,2,2,2,2,2
366,3,40,1,1,2,1,1,1,1,2,2,1,1,2,2,3,15,1,2,2,2,1,2,1,2,2,2,1,2,2
367,2,52,1,1,1,1,2,2,1,1,1,1,1,1,1,2,47,1,1,1,1,1,1,1,1,2,2,1,1,2
368,2,4,1,1,1,2,2,0,2,1,1,1,1,1,1,1,36,1,1,0,1,1,1,1,0,1,1,1,1,0
369,2,53,2,1,1,1,2,2,2,1,2,1,2,1,1,3,135,1,2,1,2,2,1,2,2,2,1,2,1,2
370,4,67,1,2,2,2,2,2,2,2,2,2,1,2,2,4,33,2,2,2,2,2,2,2,2,2,2,2,2,2
371,2,63,1,2,2,2,2,2,1,2,2,2,0,1,0,3,84,2,2,2,2,2,2,2,1,2,2,1,2,1
372,3,37,1,1,1,1,1,2,2,1,2,1,1,1,2,3,9,1,2,2,2,2,1,1,1,1,2,1,2,2
373,2,34,1,1,1,1,1,1,1,1,1,2,2,1,1,2,27,2,1,1,2,1,2,2,1,1,2,1,1,1
374,1,36,2,1,1,1,1,1,1,1,0,1,1,0,1,3,37,2,1,1,1,1,1,1,1,0,1,1,1,1
375,4,70,1,1,1,1,1,1,1,1,1,1,1,0,0,4,20,1,2,2,2,2,2,2,1,1,1,2,1,1
376,3,0,1,1,2,1,1,1,1,1,2,2,1,1,1,3,57,2,2,1,1,2,2,2,1,1,2,2,2,2
377,4,0,1,2,2,1,1,2,1,1,2,1,2,1,1,3,0,1,2,1,2,2,1,2,1,1,2,2,1,2
378,3,104,1,1,1,1,1,2,2,2,2,2,2,1,1,4,47,2,2,2,2,2,2,2,2,1,1,2,2,1
379,3,107,2,2,1,2,2,1,1,1,1,0,1,1,2,3,83,1,2,2,2,1,2,2,1,1,1,1,1,1
380,3,10,2,2,2,1,2,1,2,1,1,1,2,1,1,3,0,2,1,2,1,2,2,2,1,1,1,1,2,1
381,3,112,1,1,1,1,1,2,1,2,1,1,1,1,1,4,12,2,2,2,2,1,2,1,2,2,1,2,2,1
382,3,63,1,2,1,1,1,2,2,1,2,1,2,1,2,4,8,2,2,2,2,2,2,2,2,2,2,2,2,2
383,2,17,2,1,1,1,2,1,2,1,1,1,2,2,1,3,22,2,2,2,2,2,1,1,1,1,1,2,1,1
384,1,92,1,1,1,2,1,2,1,2,2,2,1,1,1,2,52,1,2,1,1,2,2,2,1,1,1,1,1,1
385,3,56,2,2,2,2,2,2,2,2,1,2,2,1,1,3,47,2,2,1,1,2,2,2,2,2,2,2,1,2
386,4,0,1,2,1,2,2,1,2,2,2,2,2,2,2,4,61,2,1,2,2,1,2,2,2,2,2,2,2,2
387,2,17,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,1,1,1,2,2,2,2,1,2,1,2,1,1
388,3,114,2,2,2,2,2,2,2,2,2,2,2,2,2,4,81,2,2,2,2,2,2,2,2,2,2,2,2,2
389,3,65,2,2,1,2,2,2,2,2,2,2,1,2,2,4,40,2,2,2,2,2,2,2,2,2,2,2,2,1
390,2,39,2,1,1,1,1,2,1,2,1,2,2,2,2,3,23,2,2,2,2,2,2,2,2,1,1,1,2,2
391,2,63,1,2,1,2,1,1,2,2,2,1,1,2,2,2,38,1,1,1,2,2,1,1,1,2,1,2,2,1
392,3,66,1,1,1,2,0,0,1,1,1,1,1,2,1,3,16,2,2,1,2,1,2,2,2,2,2,1,1,2
393,2,0,1,2,1,1,1,1,1,2,1,2,1,1,2,3,0,2,2,2,2,2,2,2,2,2,2,2,1,1
394,3,0,1,1,2,2,2,2,1,1,2,2,2,1,1,3,22,1,1,1,2,2,2,2,2,2,2,1,2,2
395,4,43,2,2,2,2,2,2,2,2,2,2,2,2,2,4,38,2,2,2,2,2,2,2,2,2,2,1,2,1
396,2,61,1,2,2,1,1,1,1,2,2,2,1,1,1,3,0,1,2,1,1,2,2,1,2,1,1,1,2,2
397,3,115,2,2,1,2,1,2,1,2,2,2,2,2,2,2,118,1,1,1,1,2,2,1,1,2,1,1,1,1
398,3,56,1,2,1,2,1,2,2,2,2,2,2,1,1,3,35,2,2,1,2,2,2,2,2,2,2,2,2,2
399,4,29,1,2,2,2,2,2,2,2,2,2,2,2,2,4,23,2,2,2,2,2,2,2,2,2,2,1,2,1
400,2,42,1,1,1,1,2,1,1,1,1,1,1,1,1,3,16,1,2,2,2,2,2,2,1,2,1,2,2,2
401,3,125,1,2,2,2,2,2,2,2,2,2,2,2,2,3,106,2,2,1,2,2,2,2,2,1,2,2,2,2
402,2,0,0,0,1,1,0,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,2,1,1,1,1,0,1,2
403,3,57,1,2,2,2,1,2,2,1,1,1,1,2,1,4,24,2,2,2,2,1,2,1,2,2,2,2,2,2
404,3,42,1,2,2,2,1,1,2,1,2,2,2,2,2,4,30,2,2,2,2,2,2,2,1,2,2,2,1,2
405,2,149,1,1,2,2,2,2,2,1,1,2,1,1,1,3,54,1,2,2,2,1,2,1,1,2,1,1,1,2
406,3,83,1,2,1,2,1,2,2,2,2,2,2,2,2,3,55,1,1,2,2,1,1,2,2,1,2,2,2,2
407,2,22,0,2,1,1,1,2,1,1,2,1,2,2,2,2,40,1,1,1,1,1,1,1,1,1,2,1,1,1
408,3,146,1,1,1,2,2,1,2,2,2,2,1,2,2,4,152,1,2,1,2,2,2,2,1,1,1,2,2,1
409,4,51,2,2,1,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2
410,3,60,2,2,2,2,2,2,2,2,2,2,2,1,2,4,71,2,2,2,2,1,2,2,2,2,1,1,1,1
411,3,6,1,2,1,1,1,1,0,1,1,0,1,1,0,3,35,2,2,2,2,2,1,1,1,2,2,1,2,1
412,4,0,2,2,2,2,1,2,2,2,2,2,2,2,2,4,0,2,2,2,2,2,2,2,1,1,2,2,2,1
413,4,33,2,1,2,1,2,1,1,1,1,1,1,1,1,3,40,2,1,2,2,1,2,1,1,2,2,2,1,1
414,3,61,1,1,1,1,2,1,1,0,1,2,1,1,0,2,69,2,2,1,2,2,2,1,2,2,2,1,1,1
415,2,81,2,2,2,2,1,1,2,1,2,2,1,2,1,2,36,2,2,1,2,1,2,2,1,2,2,2,2,2
416,1,34,1,1,0,1,1,1,1,1,0,1,1,1,0,3,90,2,2,1,2,2,1,2,0,1,1,1,0,1
417,4,133,2,1,2,1,2,2,2,1,1,2,2,1,1,3,52,1,2,2,2,2,2,2,1,1,2,1,1,1
418,4,104,2,2,1,2,2,2,2,2,1,2,2,1,1,4,54,2,2,2,2,2,2,2,2,2,2,2,2,2
419,2,23,0,0,0,1,1,0,0,0,0,0,0,0,0,2,19,1,1,0,1,2,1,1,0,1,1,1,0,1
420,3,88,1,2,2,2,1,2,1,1,2,2,2,2,1,4,45,2,2,2,2,2,2,2,2,2,2,2,2,2
421,2,113,1,2,1,2,2,2,2,2,2,2,2,2,1,4,48,1,2,2,1,2,2,2,2,2,1,1,2,2
422,3,67,2,1,1,1,2,2,2,1,1,1,1,1,1,3,64,1,1,2,2,2,2,1,1,2,2,1,1,1
423,3,10,1,2,2,2,2,2,2,2,2,1,2,1,1,3,0,1,2,2,2,2,1,2,1,1,2,2,1,2
424,2,104,2,2,1,2,2,2,2,2,2,2,2,1,1,3,87,2,2,1,2,2,2,2,2,2,2,2,1,2
425,3,111,1,2,2,2,2,1,1,1,1,1,1,1,1,4,48,2,2,2,2,2,2,2,2,2,2,2,2,1
426,3,58,2,1,1,2,1,2,1,2,1,2,1,2,2,3,52,2,2,2,2,2,1,1,1,1,1,1,1,1
427,2,0,2,1,1,1,1,1,1,1,1,1,1,0,0,2,82,1,1,0,1,2,1,1,0,0,0,1,0,0
428,4,55,1,2,2,2,2,2,2,2,2,2,2,2,2,4,55,2,2,2,2,2,2,2,2,2,2,2,2,2
429,3,59,2,2,2,2,2,2,2,2,2,2,2,2,2,4,17,2,2,2,2,2,2,2,2,2,2,2,2,2
430,3,9,1,1,1,1,1,0,1,0,1,1,1,1,1,4,65,2,2,2,2,2,2,2,2,2,1,2,1,1
431,2,73,2,2,2,1,1,2,2,2,1,2,1,2,1,3,71,1,2,1,2,1,1,2,2,1,1,1,1,1
432,2,87,2,1,1,2,1,2,2,1,2,2,2,2,1,4,80,2,1,2,2,1,2,2,1,2,2,2,1,1
433,4,11,2,1,1,2,2,1,2,1,1,2,1,2,2,3,58,2,2,2,2,2,1,1,1,2,2,2,2,2
434,2,32,2,2,2,2,2,2,1,1,2,2,2,1,1,4,47,2,2,2,2,2,2,2,2,2,2,2,2,1
435,3,31,1,2,1,1,2,1,2,2,1,2,2,1,1,3,61,2,2,1,2,2,2,2,1,2,2,2,1,2
436,4,76,2,2,2,2,2,2,2,2,2,2,2,2,2,4,17,2,2,2,2,2,2,2,2,2,2,2,2,2
437,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,9,0,1,1,1,2,1,1,1,2,2,1,1,1
438,2,31,1,1,1,2,2,1,2,1,1,1,1,1,1,3,20,2,2,1,2,2,2,2,2,2,2,2,2,2
439,3,89,1,2,2,2,2,2,2,2,2,2,2,2,2,4,52,1,1,2,2,2,2,2,2,2,2,2,2,2
440,3,0,2,2,1,2,2,2,1,2,1,2,2,2,2,4,10,2,1,2,2,2,1,1,1,1,2,2,1,1
441,1,83,1,2,1,1,0,1,1,1,1,1,1,2,1,3,59,1,1,2,1,2,1,2,1,2,1,1,0,1
442,2,129,1,1,2,2,1,2,1,1,2,1,2,1,1,3,83,1,2,1,2,1,2,2,1,1,1,1,1,2
443,3,142,1,2,0,1,1,2,1,2,1,2,2,2,2,4,34,2,2,2,2,2,2,2,2,2,2,2,2,2
